"machine_event_id","machine_id","machine_code","machine_name","started_at","temperature","vibration","pressure","rpm","power","humidity","is_breakdown"
1,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-10 11:33:00.000 +0300,,,,,,,0
2,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-10 11:31:00.000 +0300,,,,,,,0
3,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-10 12:32:00.000 +0300,70.976190,3.220704,,2661.140628,1.228103,,0
4,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-12 09:01:00.000 +0300,70.976190,3.220704,,2661.140628,1.228103,,0
5,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-12 08:50:00.000 +0300,70.976190,3.220704,,2661.140628,1.228103,,0
6,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-12 11:43:00.000 +0300,72.081242,2.480276,,2299.463697,1.323255,,0
7,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-16 14:05:00.000 +0300,72.081242,2.480276,,2299.463697,1.323255,,0
8,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-16 13:41:00.000 +0300,72.081242,2.480276,,2299.463697,1.323255,,0
9,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-16 16:03:00.000 +0300,62.386491,2.541710,,1831.251515,1.260502,,0
10,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-16 15:58:00.000 +0300,66.557356,4.550175,,2356.150270,1.332931,,0
11,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-16 15:47:00.000 +0300,72.989844,4.529315,,2556.283776,1.501534,,0
12,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-16 17:22:00.000 +0300,57.956987,1.746508,,1905.469520,1.108128,,0
13,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-16 17:17:00.000 +0300,66.666001,1.826168,,2378.784046,1.308398,,0
14,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-16 17:09:00.000 +0300,72.446474,2.929392,,2537.628566,1.206161,,0
15,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-16 19:55:00.000 +0300,72.993525,2.478767,,2619.675042,1.304951,,0
16,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-18 07:12:00.000 +0300,72.993525,2.478767,,2619.675042,1.304951,,0
17,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-18 06:50:00.000 +0300,72.993525,2.478767,,2619.675042,1.304951,,0
18,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-18 10:08:00.000 +0300,68.772516,2.617131,,2434.571979,1.266801,,0
19,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-18 10:50:00.000 +0300,68.772516,2.617131,,2434.571979,1.266801,,0
20,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-18 10:50:00.000 +0300,68.772516,2.617131,,2434.571979,1.266801,,0
21,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-18 12:58:00.000 +0300,72.585747,2.870208,,2610.656186,1.251465,,0
22,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-19 06:18:00.000 +0300,72.585747,2.870208,,2610.656186,1.251465,,0
